Playlist-ID,Title,Language,Label,isTruthWorthy
7cXKyCGQxrbV4JYwfZebUK,Calm Hindi Music,hindi,calm,1
0dsl5hbFdVT7scb7Vakkwa,Hindi  calming songs,hindi,calm,1
6WiMSiEX3FleOOQimEKzVQ,Slow and Calm Hindi Songs,hindi,calm,1
0J2Io2I47rfYsdir02OA3i,PEACEFUL Hindi songs,hindi,calm,1
292Eo8OzviSLWzysUfMdho,Soothing calm hindi songs 😌,hindi,calm,1
75zsHDZ94uFFoF1rK4ANvU,LOFi Music (Hindi + English),hindi,calm,1
19deN7iQwMUydOeUT97LoS,Good Night Sleep (HINDI),hindi,calm,1
3i95xNsWs3TE4zKfOoGchd,Hindies,hindi,calm,1
7wA1hYYJyi2LX4BwtmziJR,Hindi study session ,hindi,calm,1
7GIH9ExykjbjI4N81GUF8l,Punjabi Calming Songs,hindi,calm,1
2PJ9gI0ok4Eaql5Myg2rXV,hindi calm but not depressing ,hindi,calm,1
03vWV1OJ5ddyFh05GpTrkl,Hindi old songs covers | Bollywood classics renewed | Bollywood Oldies | Soft Bollywood old songs | Calm roadtrip hindi ,hindi,calm,1
3AXmnGJ6RhdbtRrNavOG2g,Clam/Sleep Songs (Hindi),hindi,calm,1
6Y31lcyZP40cdFS7RZHAWo,Hindi Romantic/Soothing,hindi,calm,1
5PBTbWsW8sEKIzpRhP09fx,Calming silent hindi songs before sleep,hindi,calm,1
56Zwfo7tf0tLQwTNVDhdaI,Hindi Calm 😌,hindi,calm,1
6oXpnfyh2iygnt9b8xtPch,Sukoon✨💫,hindi,calm,1
3DElbyvnyxBsXBS2lLMaue,Hindi Calm,hindi,calm,1
7w4hHKxccLuXHgzkBiqkTV,Calming Hindi Music,hindi,calm,1
5zVv9CXKaVVbKWKFGobBaC,Soulfully Yours!,hindi,calm,1
7hEqJ4mKxRdh5BbNv67gMC,Calm hindi,hindi,calm,1
1U33bBJzXFsKSp52MhlsMy,Lofi Hindi- calming &soothing songs🌝/Hindi &Hindi-English mix❤️,hindi,calm,1
0K9PGjQbNEBZLtoTJhAuW8,Tamil and hindi Calming Hits,hindi,calm,1
6vw8i47QZktll3d5Ybn812,Mood Swings - Best of Hindi Songs,hindi,calm,1
69hK4D0vZR8l2o2Xij0Mzi,Hindi Songs - Calm,hindi,calm,1
4ManJH0azOiUjs0Q7gBAzF,Hindi calming❤️,hindi,calm,1
567VtkGYUCAziKg2DbxQxK,Hindi Calm Songs ✨,hindi,calm,1
0sEHaJhHb2tHjqMdU9JkXy,Hindi Calm yesh,hindi,calm,1
28NyTCpPmAair9waKZqCwo,Relaxing Bollywood!,hindi,calm,1
3FWzoe6DOTmk6LtDapHoLY,Hindi calm ,hindi,calm,1
0DRLzlhIlcqggAeccIWzKd,Calm hindi sleep music,hindi,calm,1
7q3OyFVcWdt0VL83jpgC0O,Soft bedtime songs .,hindi,calm,1
0vCvQlLlDCeaIl157aff89,Hindi Calm,hindi,calm,1
0gR2XZmNlgz5MJfHC05KME,Calm hindi,hindi,calm,1
026YOkF2kvybGPnmN5OIfy,Hindi calming music ,hindi,calm,1
7GYOZI6LSUKNur4PTqa8AP,Hindi calm,hindi,calm,1
22vGoRks9DWPrjK3jCznRG,Calm hindi,hindi,calm,1
71UqUVdDDzWedDK2ONhs44,Calm Hindi,hindi,calm,1
6AcfYJ8lORWFs9lTKsxM51,Calm Vibes (Hindi),hindi,calm,1
1XKFKa96WkpLQ8wlOuijlp,Morning Hindi Calm,hindi,calm,1
58FIupaS6lhUAK86FtSYcN,Hindi calm💘,hindi,calm,1
6saMWa6vR0gLtSPS6ze8BG,afternoon chai,hindi,calm,1
1OcGa0wVHDX8CXT42FHYoi,Hindi Calm,hindi,calm,1
5DT1Y7Ki1Xze78qv1ZcesQ,Calm Hindi  Songs,hindi,calm,1
2798HC6zGyWPclCsg2i842,Hindi calms,hindi,calm,1
4qGNlNwOsnE7UTxbN5IVK1,Calm vibes(hindi)✨,hindi,calm,1
30ZfhV6J1mKRpzHcB0fZek,COOL SONGS XD (Hindi),hindi,calm,1
0rPAoDNNXx3pToPYngMRLD,Hindi calm music,hindi,calm,1
3KWnXGQQQ7weIn9K4U4Fmw,calm hindi lol,hindi,calm,1
657InabUBseqkeVyaOIoBv,Calm Hindi,hindi,calm,1
