Playlist-ID,Title,Language,Label,isTruthWorthy
44pN3wa36GIa3BToL2TGxn,Calm Japanese,japanese,calm,1
5EIKwOv1rUfK6zQPdJB7x9,Calming Japanese soft music,japanese,calm,1
0ae9fcaA81r0OBifjfwiyF,calm japanese indie for when i study,japanese,calm,1
4wUxmKdPaeiZQxOdweICtw,🌺Calm japanese songs🌸,japanese,calm,1
7dkw4UhBKqz0guxx8YmuY7,☁️ japanese jazz ☕️ studying ☁️,japanese,calm,1
0mBJXwwcwzAFYUEYKQAM2b,calm japanese/anime songs ,japanese,calm,1
7eDIaf6obY6fNdqCtAkZpY,Oriental Lofi | Japanese Lofi | Asian Lofi Hip Hop,japanese,calm,1
63axQd4jv6Qgm9Ub5wwEOq,soft japanese music,japanese,calm,1
7iEjCcx21s1T1i4oDvygMq,Sad Japanese Songs サッドソング,japanese,calm,1
7kMz0VqYtHYBVzOtI1zVbr,Zen ☯ Japanese Lofi Chillhop & HipHop ☯,japanese,calm,1
51peKlgS0g3zEtcSMg6HLG,calming Japanese songs ,japanese,calm,1
4rF27OE2xxkHeiFs9cZGMW,Soothing Japanese Acoustic,japanese,calm,1
4gbX2xJoBDwTDd7z5XmIrP,"Japanese traditional music    - calm,relaxing, for study",japanese,calm,1
0kE3A6ZD25OsuekPtVgbbB,Japanese and Korean Calm Instrumental Music,japanese,calm,1
3APkHJ0SGnP5HXzjlxuGn0,Japanese Vaporwave Chill,japanese,calm,1
4PGwOpc0L0ApXshfqL19yk,Calming Japanese music,japanese,calm,1
1lfnX3HrsWjUnYT0jAfjPG,Sleepy Traditional Japanese Playlist (& Chinese!),japanese,calm,1
2VWGSqMPTXuZMQEVu7o4uo,Beautiful Anime/Japanese Songs,japanese,calm,1
0jvGFniWJL7NfSQgXXsOV4,Japanese Sad Songs 「 1 」,japanese,calm,1
6gU9oYFCtsZDqdbWyoSqws,Japan Peace,japanese,calm,1
0J3mytgGBqcpbROUuUbTvj,Japanese LoFi Hip Hop Chill,japanese,calm,1
5dUhS6JztiglA7dOBL4J8u,Tropical Lo-Fi,japanese,calm,1
2jL7IU2wBleBj8e96hmzMr,Calm Japanese and Korean Vibes~,japanese,calm,1
7DUzif8I9QqkuzaTfRlFR3,Japanese Lofi 🎴,japanese,calm,1
5oqVelyVwOYWz99Zqvb96n,☽Japanese cute calming lofi ♡︎,japanese,calm,1
7hc9YcQ6rf3eONrlovx79A,Sensei ☯ Japanese Lofi HipHop Mix,japanese,calm,1
4xvtJrUtZOQ47EinkasxYv,Japanese Calming Music,japanese,calm,1
4cPbOfc757CNJdSgpidiRI,Japanese Lofi Chill,japanese,calm,1
22HoKjrmoxKu2KoUz9LTOO,Japanese ~calmer~,japanese,calm,1
3gqU7sc7V5Z4rV3XiMraKk,Calm Japanese ,japanese,calm,1
5LuFmx1TnI4IgciPTy9N7y,JAPAN NEW CALM (Monthly),japanese,calm,1
5hk7yvOFPIwPgdoWxTZK8O,On a calm afternoon I LoFi Beats,japanese,calm,1
0DBASEHROYYBhzdcjUYxhs,Asian Lofi Chill,japanese,calm,1
3XpZbENGhBZAK4vzBBs5sM,lo-fi for when you are stressed ,japanese,calm,1
5aMHgs7Jg9laDjpjPJOeZm,Calm Japanese,japanese,calm,1
1OnxAfRyWWHcvOVSn2dhTM,Japanese Lofi/Instrumental Study,japanese,calm,1
23qHSAvmWhPNmE5L7qR3ye,Japanese/calm,japanese,calm,1
7BLnjzkD3an78I8qvkLtM4,80's Japanese City Pop,japanese,calm,1
6ay8N77zI8sqptA9H5ITjw,Traditional Japanese calm,japanese,calm,1
08dGEOiAlIY3P230Gunn5h,"Traditional Japanese Music - Koto, Shamisen, Shakuhachi, Ryūteki, Komabue, Kakko, Shōko, Hocchiku",japanese,calm,1
2KQ0hNAPpJ8QpAuFqLhr6z,Japanese Indie Folk (Morning/Chill),japanese,calm,1
37nxAZKhI6etz9PwhY8F75,Japanese 80's Vibes 🇯🇵🎋,japanese,calm,1
1xXOQlT8lkEdY28UuQ6h1m,Calm Japanese Stuff,japanese,calm,1
5SrfRDyEBKFkCr33GahHbs,calm japanese flute,japanese,calm,1
1GBQ18bn3D9Jio7i4kpGz1,Japanese (calm and chill),japanese,calm,1
05bi1r14Lx7foPDqqRmGPu,ANIME BOSSA NOVA CAFÉ ☕,japanese,calm,1
6qOUulFf9KSmQ80YLHw6ca,LOFI SAKURA [ japanese lo-fi / chillhop beats ],japanese,calm,1
6gVNjlzIoJMdU0wbckgZwG,Japanese calming,japanese,calm,1
1R6SzJRiGwmMKq1yBRE43v,Calming Japanese Tunes,japanese,calm,1
4U4P1IqK08Gz9x5EVYgl11,Japanese Calm,japanese,calm,1
